income,loan_purpose,coop_unit,trem_months,state_clean,first_hoam_loan,gender,age,num_units,credit_score,prop_typ,int_rate
87672,1,2,360,3,2,1,43,1,5,1,4.25
224820,1,2,360,3,1,1,33,1,5,1,4.5
103019,1,2,360,3,1,1,30,1,4,1,4.13
78049,2,2,360,3,2,1,77,1,3,1,4.25
161543,1,2,360,3,2,1,40,1,3,1,4.25
117000,1,2,360,3,1,1,28,1,5,1,4.25
100629,2,2,180,3,2,1,43,1,4,1,3.25
47932,2,2,360,3,2,1,49,1,4,1,4.5
89000,1,2,360,3,1,1,27,1,4,1,4.5
90876,2,2,360,3,2,2,40,1,5,1,4.25
159870,1,2,360,3,2,1,35,1,4,1,4.25
89946,1,2,180,3,2,1,71,1,5,1,3.5
139106,1,2,360,3,2,1,48,1,5,1,4.13
315454,1,2,360,3,2,1,60,1,2,1,4.63
124016,2,2,360,3,2,3,46,1,5,7,4.25
44196,1,2,360,3,1,1,25,1,5,1,4.25
119064,1,2,360,3,2,3,43,1,5,1,4.5
212491,2,2,360,3,2,1,50,1,5,1,4.13
46905,1,2,360,3,2,1,74,1,5,1,4.25
86271,1,2,360,3,2,3,27,1,5,1,4.5
69284,2,2,360,3,2,3,45,1,5,2,4.25
189000,1,2,360,3,1,2,34,1,5,7,4.25
93480,1,2,360,3,2,1,32,1,5,1,4.25
273756,2,2,360,3,2,1,30,2,4,1,4.5
136946,1,2,360,3,2,2,33,1,4,1,4.13
76880,2,2,360,3,2,1,46,1,5,1,4.25
381300,1,2,360,3,2,2,38,1,5,1,4.25
86662,2,2,360,3,2,2,26,1,3,6,4.25
330480,1,2,360,3,2,1,54,1,5,1,4.25
136240,2,2,360,3,2,1,55,1,5,1,4.38
115117,2,2,360,3,2,3,39,1,5,1,4.13
151248,2,2,360,3,2,1,41,1,5,1,4.38
95883,1,2,360,3,2,1,35,1,5,1,4.25
37733,1,2,360,3,2,1,81,1,5,1,4.25
102317,1,2,360,3,2,3,34,1,5,7,4.25
95940,2,2,180,3,2,1,46,1,5,1,3.5
285359,1,2,360,3,2,1,52,1,5,1,4
125278,1,2,240,3,2,2,46,1,5,1,3.63
127959,1,2,360,3,2,1,47,1,5,1,4.25
86777,2,2,360,3,2,1,45,1,4,1,4.13
133117,1,2,360,3,2,1,48,1,5,1,4.5
70344,1,2,360,3,2,1,62,1,5,1,4.5
123008,2,2,180,3,2,2,53,1,5,1,3.13
64992,2,2,360,3,2,1,65,1,5,1,4.38
131514,1,2,360,3,2,1,45,1,5,1,4.25
302168,1,2,360,3,2,1,43,1,5,1,4.25
151056,1,2,360,3,2,2,38,1,5,1,4.13
191282,2,2,360,3,2,1,63,1,5,2,4.13
118768,2,2,240,3,2,2,35,1,5,1,3.88
95256,2,2,360,3,2,2,56,1,5,1,4.13
60000,1,2,360,3,2,3,51,1,3,1,4.5
21846,1,2,360,3,2,3,71,1,3,1,4.75
172800,1,2,360,3,2,1,36,1,3,1,4.25
54384,1,2,360,3,2,1,55,1,3,1,4.25
48882,2,2,360,3,2,1,50,1,4,1,4
237996,2,2,180,3,2,3,31,1,4,1,3.38
28080,1,2,360,3,1,1,52,1,4,1,4.25
54007,2,2,360,3,2,3,38,1,4,1,4.5
155371,2,2,360,3,2,1,55,1,4,1,4.5
44990,1,2,360,3,1,1,46,1,4,1,4.5
225001,2,2,360,3,2,3,48,1,4,1,4.38
325000,1,2,360,3,2,2,42,1,5,7,4.5
208752,2,2,360,3,2,3,47,1,5,1,4
54429,1,2,360,3,2,1,72,1,5,1,4.5
72000,2,2,360,3,2,2,52,1,5,1,4
191400,1,2,360,3,2,1,57,1,5,1,4.38
51369,1,2,360,3,2,1,32,1,5,1,4.13
236214,2,2,240,3,2,1,41,1,5,1,3.88
103788,2,2,360,3,2,2,50,1,5,1,4.38
105944,1,2,360,3,2,1,57,1,5,1,4.5
85510,1,2,240,3,2,2,53,1,5,1,3.88
66252,1,2,360,3,2,2,59,1,5,1,4.5
88000,2,2,180,3,2,2,46,1,5,1,3.13
105575,2,2,180,3,2,3,49,1,5,1,3.38
240000,1,2,360,3,2,1,39,1,5,1,4.13
89508,1,2,360,3,2,1,35,1,5,1,4.13
61381,1,2,360,3,2,1,41,1,5,1,4.25
125004,1,2,360,3,2,1,57,1,5,1,4.25
98966,2,2,360,3,2,3,45,1,5,1,4.25
89149,2,2,360,3,2,1,50,1,5,7,4.5
46280,2,2,240,3,2,1,39,1,5,1,3.88
274800,2,2,360,3,2,1,47,1,4,1,4
154000,1,2,180,3,2,1,50,1,5,1,3.5
132374,2,2,180,3,2,1,61,1,5,1,3.25
82908,2,2,180,3,2,2,50,1,5,1,3.5
